,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
6,87593841,2018,2009,0.625,NEPTUNE,100.58,-0.5799999999999983
8,94206286,2018,1994,0.625,BADGER,100.13,-0.12999999999999545
18,42949864,2019,1997,0.625,NEPTUNE,100.65,-0.6500000000000057
28,90423750,2019,1990,0.625,BADGER,100.04,-0.04000000000000625
38,84065879,2019,2007,0.625,NEPTUNE,100.1,-0.09999999999999432
43,81547650,2018,2005,0.625,NEPTUNE,100.44,-0.4399999999999977
50,19076194,2019,2003,0.625,BADGER,100.87,-0.8700000000000045
53,80325062,2019,2004,0.625,NEPTUNE,100.05,-0.04999999999999716
54,94671270,2019,1995,0.625,BADGER,100.11,-0.10999999999999943
62,18831429,2018,2018,0.625,BADGER,101.4,-1.4000000000000057
65,17737646,2020,2002,0.625,BADGER,100.62,-0.6200000000000045
68,80613061,2019,2005,0.625,NEPTUNE,100.65,-0.6500000000000057
71,45251195,2019,2000,0.625,NEPTUNE,100.22,-0.21999999999999886
76,73695456,2018,2000,0.625,NEPTUNE,100.29,-0.29000000000000625
93,95041813,2018,1995,0.625,BADGER,100.01,-0.010000000000005116
101,17417785,2019,2001,0.625,BADGER,100.56,-0.5600000000000023
102,87594302,2019,2009,0.625,NEPTUNE,100.06,-0.060000000000002274
104,19078142,2018,2003,0.625,BADGER,100.56,-0.5600000000000023
105,90731757,2019,2011,0.625,NEPTUNE,100.42,-0.4200000000000017
106,82284132,2018,2006,0.625,NEPTUNE,100.2,-0.20000000000000284
108,94707492,2018,1994,0.625,BADGER,100.44,-0.4399999999999977
114,15480800,2019,2015,0.625,BADGER,100.63,-0.6299999999999955
133,18853395,2019,2003,0.625,BADGER,100.05,-0.04999999999999716
136,19078761,2018,2003,0.625,BADGER,100.33,-0.3299999999999983
145,90848109,2019,1990,0.625,BADGER,100.77,-0.769999999999996
149,19079484,2018,2003,0.625,BADGER,100.11,-0.10999999999999943
159,16984635,2020,2010,0.625,BADGER,100.37,-0.37000000000000455
161,13484565,2019,2010,0.625,BADGER,100.41,-0.4099999999999966
162,84319053,2018,2007,0.625,NEPTUNE,100.24,-0.23999999999999488
166,94705360,2018,1994,0.625,BADGER,100.73,-0.730000000000004
172,14908070,2019,2010,1.0,BADGER,100.25,-0.25
174,18378118,2020,2010,0.625,BADGER,100.12,-0.12000000000000455
176,16787233,2018,1970,1.0,NEPTUNE,100.74,-0.7399999999999949
215,17921198,2019,2002,0.625,BADGER,100.01,-0.010000000000005116
229,90488717,2018,1990,0.625,BADGER,100.82,-0.8199999999999932
230,91376503,2018,2011,0.625,NEPTUNE,100.26,-0.2600000000000051
233,13485924,2019,2010,0.625,BADGER,100.71,-0.7099999999999937
237,16723319,2019,2016,0.625,BADGER,101.48,-1.480000000000004
243,28465276,2019,1982,0.625,NEPTUNE,100.08,-0.0799999999999983
246,17232511,2018,2018,1.0,BADGER,101.59,-1.5900000000000034
248,10278242,2019,1954,0.625,TRIDENT,100.16,-0.1599999999999966
255,18422697,2019,2002,0.625,BADGER,100.29,-0.29000000000000625
256,45574486,2019,1999,0.625,NEPTUNE,100.09,-0.09000000000000341
278,16493167,2019,2010,0.625,BADGER,100.53,-0.5300000000000011
290,85379342,2018,2007,0.625,NEPTUNE,100.05,-0.04999999999999716
