meterID,testYear,installationYear,meterSize,meterMake,accuracy
35826455,2019,1991,5/8,NEPTUNE,98.72%
85381440,2018,2007,5/8,NEPTUNE,0.00%
43165289,2019,1997,5/8,NEPTUNE,98.95%
42947481,2019,1997,5/8,NEPTUNE,99.86%
18432485,2019,2002,5/8,BADGER,99.85%
42721343,2019,1997,5/8,NEPTUNE,98.66%
87593841,2018,2009,"5/8""",NEPTUNE,100.58%
94305525,2018,1994,5/8,BADGER,97.92%
94206286,2018,1994,5/8,BADGER,100.13%
28619093,2019,1975,5/8,NEPTUNE,99.83%
749114,2018,1952,5/8,TRIDENT,96.65%
42500569,2018,1996,5/8,NEPTUNE,92.70%
41011226,2019,1995,5/8,NEPTUNE,98.80%
81546093,2019,2005,5/8,NEPTUNE,84.28%
85210275,2019,1995,5/8,BADGER,98.93%
94492409,2018,1994,5/8,BADGER,98.23%
28342919,2019,1982,5/8,NEPTUNE,97.72%
33464722,2019,1988,5/8,NEPTUNE,80.24%
42949864,2019,1997,"5/8""",NEPTUNE,100.65%
17921821,2019,2002,5/8,BADGER,98.99%
7174924,2019,1960,"5/8""",TRIDENT,95.94%
86241309,2018,2008,5/8,NEPTUNE,99.42%
22789146,2019,1977,5/8,NEPTUNE,97.11%
72232340,2018,2000,5/8,NEPTUNE,98.90%
45249002,2018,1998,5/8,NEPTUNE,97.60%
89402719,2018,2010,5/8,NEPTUNE,99.00%
11043053,2018,1980,"1""",BADGER,99.77%
16784669,2019,1962,5/8,TRIDENT,99.92%
90423750,2019,1990,5/8,BADGER,100.04%
42284240,2019,1996,5/8,NEPTUNE,98.61%
94707795,2018,1994,5/8,BADGER,98.99%
91376875,2018,2011,5/8,NEPTUNE,99.17%
17206757,2019,2017,5/8,BADGER,99.87%
6318285,2019,1952,5/8,TRIDENT,4.45%
89018343,2019,2010,"5/8""",NEPTUNE,97.25%
23072925,2019,1977,5/8,NEPTUNE,81.50%
73696286,2019,2000,"5/8""",NEPTUNE,99.74%
38024361,2019,1993,5/8,NEPTUNE,97.88%
84065879,2019,2007,5/8,NEPTUNE,100.10%
79705869,2019,2004,5/8,NEPTUNE,98.80%
87592315,2018,2009,5/8,NEPTUNE,97.25%
84319757,2018,2007,"5/8""",NEPTUNE,99.78%
40739052,2019,1995,5/8,NEPTUNE,99.17%
81547650,2018,2005,5/8,NEPTUNE,100.44%
33377716,2018,1988,5/8,NEPTUNE,94.13%
83619478,2019,2007,"5/8""",NEPTUNE,99.19%
78393827,2019,2003,5/8,NEPTUNE,99.71%
85638866,2019,2008,5/8,NEPTUNE,99.39%
94691723,2018,1995,5/8,BADGER,99.28%
41994386,2018,1996,5/8,NEPTUNE,99.58%
19076194,2019,2003,"5/8""",BADGER,100.87%
79405107,2018,2004,5/8,NEPTUNE,98.62%
32950261,2018,1988,5/8,NEPTUNE,96.08%
80325062,2019,2004,5/8,NEPTUNE,100.05%
94671270,2019,1995,"5/8""",BADGER,100.11%
36441816,2018,1991,5/8,NEPTUNE,99.31%
37799224,2018,1993,5/8,NEPTUNE,98.78%
43431504,2019,1997,"5/8""",NEPTUNE,98.29%
31141970,2018,1986,5/8,NEPTUNE,98.48%
44129223,2018,1998,5/8,NEPTUNE,99.29%
42501356,2018,1996,5/8,NEPTUNE,98.76%
40736603,2019,1995,5/8,NEPTUNE,98.66%
18831429,2018,2018,"5/8""",BADGER,101.40%
78395572,2018,2003,5/8,NEPTUNE,99.18%
89403165,2018,2010,5/8,NEPTUNE,99.44%
17737646,2020,2002,"5/8""",BADGER,100.62%
45251114,2019,1998,5/8,NEPTUNE,99.39%
80326178,2019,2004,5/8,NEPTUNE,99.39%
80613061,2019,2005,"5/8""",NEPTUNE,100.65%
17268671,2018,2001,5/8,BADGER,99.24%
94303813,2019,1994,5/8,BADGER,99.91%
45251195,2019,2000,"5/8""",NEPTUNE,100.22%
42947549,2018,1997,5/8,NEPTUNE,98.49%
87594353,2018,2009,5/8,NEPTUNE,99.88%
93278047,2018,2013,5/8,NEPTUNE,97.86%
41523705,2018,1996,5/8,NEPTUNE,98.88%
73695456,2018,2000,5/8,NEPTUNE,100.29%
90365135,2019,2011,5/8,NEPTUNE,99.52%
36838572,2019,1992,5/8,NEPTUNE,99.38%
18086370,2018,2002,5/8,BADGER,99.04%
94692017,2018,1995,5/8,BADGER,99.58%
37679846,2019,1992,5/8,NEPTUNE,99.32%
79406073,2019,2004,5/8,NEPTUNE,90.47%
87105756,2019,2009,5/8,NEPTUNE,96.73%
86241267,2019,2008,5/8,NEPTUNE,98.61%
91377664,2019,2011,5/8,NEPTUNE,99.80%
7432447,2019,1954,5/8,TRIDENT,99.32%
86697455,2019,2008,5/8,NEPTUNE,98.95%
45574241,2019,1999,5/8,NEPTUNE,99.91%
9219125,2018,1976,5/8,BADGER,99.45%
17922148,2019,2002,5/8,BADGER,99.25%
32746664,2018,1991,5/8,NEPTUNE,99.47%
83101096,2019,2006,5/8,NEPTUNE,94.68%
95041813,2018,1995,5/8,BADGER,100.01%
43766218,2018,1997,5/8,NEPTUNE,98.41%
18855133,2019,2003,5/8,BADGER,99.17%
83102215,2018,2006,5/8,NEPTUNE,97.03%
92154209,2018,2012,5/8,NEPTUNE,99.06%
8644773,2019,1959,5/8,TRIDENT,84.33%
94691904,2018,1995,5/8,BADGER,99.85%
46212634,2019,1999,5/8,NEPTUNE,99.82%
17417785,2019,2001,"5/8""",BADGER,100.56%
87594302,2019,2009,5/8,NEPTUNE,100.06%
92895123,2019,2012,5/8,NEPTUNE,82.72%
19078142,2018,2003,5/8,BADGER,100.56%
90731757,2019,2011,5/8,NEPTUNE,100.42%
82284132,2018,2006,5/8,NEPTUNE,100.20%
6820343,2018,1958,5/8,TRIDENT,93.65%
94707492,2018,1994,5/8,BADGER,100.44%
18855022,2018,2003,5/8,BADGER,99.52%
79079033,2019,2004,5/8,NEPTUNE,99.33%
7405769,2018,1958,5/8,TRIDENT,98.39%
94706974,2018,1994,5/8,BADGER,99.70%
81547051,2019,2005,5/8,NEPTUNE,98.82%
15480800,2019,2015,"5/8""",BADGER,100.63%
17268829,2019,2017,"5/8""",BADGER,99.82%
36443089,2018,1991,5/8,NEPTUNE,99.13%
33301821,2019,1988,5/8,NEPTUNE,93.40%
79406334,2018,2004,5/8,NEPTUNE,99.56%
23759504,2018,1978,5/8,NEPTUNE,95.50%
29164488,2019,1983,5/8,NEPTUNE,86.24%
91376564,2019,2011,5/8,NEPTUNE,98.60%
86697693,2019,2008,5/8,NEPTUNE,96.40%
42499844,2019,1996,5/8,NEPTUNE,99.43%
41327824,2019,1996,"5/8""",NEPTUNE,99.71%
84066666,2018,2007,5/8,NEPTUNE,99.23%
41162855,2018,1995,5/8,NEPTUNE,96.89%
19075772,2019,2003,5/8,BADGER,99.66%
43430472,2019,1997,5/8,NEPTUNE,98.29%
82820886,2018,2006,5/8,NEPTUNE,99.81%
36023051,2018,1991,5/8,NEPTUNE,98.81%
46940958,2019,1999,5/8,NEPTUNE,99.69%
91665542,2018,2012,5/8,NEPTUNE,98.08%
18853395,2019,2003,5/8,BADGER,100.05%
81211705,2018,2005,5/8,NEPTUNE,97.99%
41325243,2019,1995,5/8,NEPTUNE,96.66%
19078761,2018,2003,5/8,BADGER,100.33%
36441828,2019,1991,5/8,NEPTUNE,98.92%
80613301,2018,2005,5/8,NEPTUNE,99.75%
45251592,2019,1998,5/8,NEPTUNE,99.70%
18433109,2018,2002,5/8,BADGER,98.92%
92153716,2018,2012,5/8,NEPTUNE,95.91%
86240389,2019,2008,5/8,NEPTUNE,97.28%
756441,2019,1950,5/8,TRIDENT,71.27%
91663823,2019,2012,5/8,NEPTUNE,99.18%
90848109,2019,1990,"5/8""",BADGER,100.77%
34495764,2018,1990,"5/8""",NEPTUNE,99.70%
94691734,2019,1995,5/8,BADGER,99.78%
93277091,2018,2013,5/8,NEPTUNE,98.72%
19079484,2018,2003,5/8,BADGER,100.11%
94690699,2019,1995,5/8,BADGER,99.72%
2650580,2019,1952,5/8,TRIDENT,93.79%
89018598,2018,2010,5/8,NEPTUNE,0.00%
18083526,2018,2002,5/8,BADGER,99.19%
90731852,2019,2011,5/8,NEPTUNE,99.49%
18656156,2019,2003,5/8,BADGER,99.05%
74595032,2019,2000,5/8,NEPTUNE,98.00%
37689771,2019,1992,5/8,NEPTUNE,96.23%
83619511,2019,2007,5/8,NEPTUNE,98.30%
16984635,2020,2010,"5/8""",BADGER,100.37%
n/a,2018,2002,5/8,BADGER,98.64%
13484565,2019,2010,"5/8""",BADGER,100.41%
84319053,2018,2007,5/8,NEPTUNE,100.24%
19076788,2019,2003,5/8,BADGER,99.54%
90848513,2018,1990,5/8,BADGER,99.38%
92842987,2019,2012,5/8,NEPTUNE,78.83%
94705360,2018,1994,5/8,BADGER,100.73%
36441908,2018,1991,5/8,NEPTUNE,99.04%
82820342,2018,2006,5/8,NEPTUNE,98.95%
86241242,2018,2008,5/8,NEPTUNE,88.52%
14923089,2018,1958,5/8,TRIDENT,1.05%
94690801,2019,1995,5/8,BADGER,99.45%
14908070,2019,2010,"1""",BADGER,100.25%
74319109,2019,2007,"5/8""",NEPTUNE,99.11%
18378118,2020,2010,"5/8""",BADGER,100.12%
22769484,2019,1977,5/8,NEPTUNE,98.50%
16787233,2018,1970,1,NEPTUNE,100.74%
17564276,2020,2002,"5/8""",BADGER,99.87%
43765831,2019,1997,5/8,NEPTUNE,98.13%
41992944,2019,1996,5/8,NEPTUNE,99.30%
85639571,2019,2008,5/8,NEPTUNE,84.82%
37087315,2019,1992,5/8,NEPTUNE,99.91%
17417166,2019,2001,5/8,BADGER,95.45%
1554056,2019,1957,"5/8""",TRIDENT,0.00%
93276571,2019,2013,5/8,NEPTUNE,99.37%
5426426,2018,1954,5/8,TRIDENT,93.99%
43165309,2019,1997,5/8,NEPTUNE,98.11%
17736374,2018,2002,5/8,BADGER,98.14%
83617969,2019,2007,5/8,NEPTUNE,98.67%
73339556,2018,2000,5/8,NEPTUNE,97.98%
79080464,2019,2004,5/8,NEPTUNE,75.24%
17736478,2019,2002,5/8,BADGER,98.52%
41162276,2018,1995,5/8,NEPTUNE,99.22%
82820715,2018,2006,5/8,NEPTUNE,97.19%
81547152,2019,1995,5/8,NEPTUNE,99.92%
86240151,2019,2008,"5/8""",NEPTUNE,91.83%
