meterID,testYear,installationYear,meterSize,meterMake,accuracy
87593841,2018,2009,0.625,NEPTUNE,100.58
94206286,2018,1994,0.625,BADGER,100.13
42949864,2019,1997,0.625,NEPTUNE,100.65
90423750,2019,1990,0.625,BADGER,100.04
84065879,2019,2007,0.625,NEPTUNE,100.1
81547650,2018,2005,0.625,NEPTUNE,100.44
19076194,2019,2003,0.625,BADGER,100.87
80325062,2019,2004,0.625,NEPTUNE,100.05
94671270,2019,1995,0.625,BADGER,100.11
18831429,2018,2018,0.625,BADGER,101.4
17737646,2020,2002,0.625,BADGER,100.62
80613061,2019,2005,0.625,NEPTUNE,100.65
45251195,2019,2000,0.625,NEPTUNE,100.22
73695456,2018,2000,0.625,NEPTUNE,100.29
95041813,2018,1995,0.625,BADGER,100.01
17417785,2019,2001,0.625,BADGER,100.56
87594302,2019,2009,0.625,NEPTUNE,100.06
19078142,2018,2003,0.625,BADGER,100.56
90731757,2019,2011,0.625,NEPTUNE,100.42
82284132,2018,2006,0.625,NEPTUNE,100.2
94707492,2018,1994,0.625,BADGER,100.44
15480800,2019,2015,0.625,BADGER,100.63
18853395,2019,2003,0.625,BADGER,100.05
19078761,2018,2003,0.625,BADGER,100.33
90848109,2019,1990,0.625,BADGER,100.77
19079484,2018,2003,0.625,BADGER,100.11
16984635,2020,2010,0.625,BADGER,100.37
13484565,2019,2010,0.625,BADGER,100.41
84319053,2018,2007,0.625,NEPTUNE,100.24
94705360,2018,1994,0.625,BADGER,100.73
14908070,2019,2010,1,BADGER,100.25
18378118,2020,2010,0.625,BADGER,100.12
16787233,2018,1970,1,NEPTUNE,100.74
17921198,2019,2002,0.625,BADGER,100.01
90488717,2018,1990,0.625,BADGER,100.82
91376503,2018,2011,0.625,NEPTUNE,100.26
13485924,2019,2010,0.625,BADGER,100.71
16723319,2019,2016,0.625,BADGER,101.48
28465276,2019,1982,0.625,NEPTUNE,100.08
17232511,2018,2018,1,BADGER,101.59
10278242,2019,1954,0.625,TRIDENT,100.16
18422697,2019,2002,0.625,BADGER,100.29
45574486,2019,1999,0.625,NEPTUNE,100.09
16493167,2019,2010,0.625,BADGER,100.53
85379342,2018,2007,0.625,NEPTUNE,100.05
31244895,2019,1988,0.625,NEPTUNE,101.13
28619428,2019,1980,0.625,NEPTUNE,101.21
17232699,2018,2018,1,BADGER,102.03
51903348,2019,2000,0.625,BADGER,101.15
90848265,2019,1990,0.625,BADGER,100.91
87108556,2018,2009,0.625,NEPTUNE,100.41
80324846,2018,2004,0.625,NEPTUNE,100.16
80326660,2019,2004,0.625,NEPTUNE,101.36
14049280,2019,2000,0.625,BADGER,100.21
16657840,2019,1995,0.625,BADGER,100.43
73695933,2019,2000,0.625,NEPTUNE,100.33
91189163,2019,1990,0.625,BADGER,100.53
14048542,2019,2010,0.625,BADGER,100.67
90487924,2019,1980,0.625,BADGER,100.83
23086886,2019,1977,0.625,NEPTUNE,100.01
16784798,2019,1963,0.625,NEPTUNE,101.44
95211785,2018,1995,0.625,BADGER,100.23
44129069,2019,1998,0.625,NEPTUNE,100.11
30554788,2019,1985,0.625,NEPTUNE,101.3
15253680,2020,2010,0.625,BADGER,100.51
19078673,2018,2003,0.625,BADGER,100.08
18856183,2018,2003,0.625,BADGER,100.66
94490714,2019,1994,0.625,BADGER,100.56
15605034,2019,2010,0.625,BADGER,100.48
94304998,2018,1994,0.625,BADGER,100.48
17984231,2019,2018,0.625,BADGER,101.59
51900739,2019,2010,0.625,BADGER,100.41
30664928,2019,1985,0.625,NEPTUNE,100.27
78394504,2018,2003,0.625,NEPTUNE,100.11
95041027,2018,1995,0.625,BADGER,100.06
18503128,2018,2019,0.625,BADGER,100.64
42501418,2019,1996,0.625,NEPTUNE,100.11
19079398,2019,2003,0.625,BADGER,100.08
18855502,2019,1990,0.625,BADGER,100.44
28342758,2019,1977,0.625,NEPTUNE,100.59
73341715,2019,2000,0.625,NEPTUNE,100.24
42720357,2019,1997,0.625,NEPTUNE,100.36
88523567,2019,2009,0.625,NEPTUNE,100.03
18855317,2019,2003,0.625,BADGER,100.29
29780960,2018,1980,0.625,NEPTUNE,100.92
14686562,2019,2014,0.625,BADGER,100.14
16990079,2019,2001,0.625,BADGER,100.02
90424527,2019,1994,0.625,BADGER,100.11
44127632,2020,1998,0.625,NEPTUNE,100.34
36229182,2019,1991,0.625,NEPTUNE,100.35
36228469,2018,1991,0.625,NEPTUNE,100.01
14048442,2019,2000,0.625,BADGER,100.4
25108574,2019,1977,0.625,NEPTUNE,100.11
44463505,2019,1998,0.625,NEPTUNE,100.44
84320489,2019,2007,0.625,NEPTUNE,100.22
44129628,2019,1998,0.625,NEPTUNE,100.13
78395522,2019,2003,0.625,NEPTUNE,100.48
46941149,2018,1999,0.625,NEPTUNE,100.02
94305787,2019,1994,0.625,BADGER,100.98
15200684,2019,2015,0.625,BADGER,100.62
11684342,2018,1957,0.625,TRIDENT,-3.8
42501811,2019,1996,0.625,NEPTUNE,101.48
28883230,2018,1983,0.625,NEPTUNE,101.45
31511156,2019,1999,1,NEPTUNE,101.41
17546416,2019,2010,0.625,BADGER,100.42
6993630,2018,1953,0.625,TRIDENT,100.5
90489951,2020,1990,0.625,BADGER,101.35
78394123,2018,2003,0.625,NEPTUNE,100.08
80613319,2018,2005,0.625,NEPTUNE,100.44
80611830,2019,2005,0.625,NEPTUNE,100.58
83100359,2018,2006,0.625,NEPTUNE,100.14
44463656,2018,1998,0.625,NEPTUNE,100.22
44536308,2018,1998,0.625,NEPTUNE,100.23
14687413,2020,2010,0.625,BADGER,100.77
14391591,2019,2010,1,BADGER,100.11
40650514,2019,1995,0.625,NEPTUNE,100.21
79405734,2019,2004,0.625,NEPTUNE,100.48
33895115,2018,2007,1,BADGER,100.72
42947539,2019,1997,0.625,NEPTUNE,102.33
16588526,2019,2000,0.625,BADGER,100.24
17544689,2019,2010,0.625,BADGER,100.71
15249266,2020,2010,0.625,BADGER,101.09
78393598,2018,2003,0.625,NEPTUNE,100.11
42720229,2018,1997,0.625,NEPTUNE,100.23
42285446,2019,1996,0.625,NEPTUNE,100.22
15201371,2019,2015,0.625,BADGER,100.54
95040382,2019,1995,0.625,BADGER,100.6
51900541,2019,2010,0.625,BADGER,100.27
13622670,2019,2014,0.625,BADGER,100.55
15199191,2019,2016,0.625,BADGER,100.18
13489835,2019,2010,1,BADGER,101.94
82819885,2018,2006,0.625,NEPTUNE,100.09
15799920,2019,2016,0.625,BADGER,100.52
15478608,2019,2015,0.625,BADGER,100.64
42720506,2018,1997,0.625,NEPTUNE,100.8
80612724,2019,2005,0.625,NEPTUNE,100.2
14642573,2018,1959,0.625,TRIDENT,-3.8
14221513,2019,2010,0.625,BADGER,100.54
16451173,2019,2010,1,BADGER,100.11
19078672,2019,2003,0.625,BADGER,100.92
15199450,2018,2015,0.625,BADGER,100.62
45574059,2019,1999,0.625,NEPTUNE,100.03
42947728,2019,1997,0.625,NEPTUNE,100.05
5480207,2019,1952,0.625,TRIDENT,100.53
87595086,2019,2009,0.625,NEPTUNE,100.32
79078339,2019,2004,0.625,NEPTUNE,100.29
17418022,2020,2001,0.625,BADGER,100.99
84835568,2019,2007,0.625,NEPTUNE,100.31
15254793,2019,2010,0.625,BADGER,100.53
18856302,2019,2003,0.625,BADGER,100.03
91378861,2019,2011,0.625,NEPTUNE,102.35
86698042,2019,2008,0.625,NEPTUNE,101.49
16587747,2019,2010,0.625,BADGER,100.26
37806742,2019,1993,0.625,NEPTUNE,101.34
91376915,2018,2011,0.625,NEPTUNE,100.57
19079396,2019,2003,0.625,BADGER,100.01
17418212,2018,2001,0.625,BADGER,100.2
89403024,2019,2010,0.625,NEPTUNE,100.85
18086071,2019,2002,0.625,BADGER,100.13
17921039,2018,2002,0.625,BADGER,100.17
90848851,2019,1990,0.625,BADGER,101.23
94707621,2018,1994,0.625,BADGER,100.98
15253187,2019,2010,0.625,BADGER,100.74
16984545,2019,2010,0.625,BADGER,100.36
16656788,2019,2010,0.625,BADGER,100.31
8611157,2019,2005,0.625,NEPTUNE,-3.87
13623813,2020,2010,0.625,BADGER,100.27
14922967,2018,1955,0.625,TRIDENT,101.1
18450696,2018,2018,0.625,BADGER,101.89
94205235,2018,1994,0.625,BADGER,100.12
34031101,2018,2010,1,BADGER,101.15
18431644,2020,2002,0.625,BADGER,100.13
29062858,2018,1983,0.625,NEPTUNE,100.01
17207490,2019,1990,0.625,BADGER,100.05
14972115,2019,2014,0.625,BADGER,101.99
18628517,2018,2018,0.625,BADGER,100.31
14223416,2019,2010,0.625,BADGER,100.93
90779510,2019,1990,0.625,BADGER,100.73
15499605,2019,2010,0.625,BADGER,100.8
17416830,2020,2001,0.625,BADGER,100.13
46940062,2018,1999,0.625,NEPTUNE,100.55
94489780,2019,1994,0.625,BADGER,101.8
35825868,2018,1991,0.625,NEPTUNE,100.24
15478508,2019,2010,0.625,BADGER,100.16
